* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -13.8 dBFS, measurement signal peak level -12.8 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:55:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R HØJ Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
200.527954 96.723 15.3682
200.864410 96.717 15.3491
201.200867 96.713 15.3195
201.537323 96.713 15.2990
201.873779 96.722 15.2825
202.210236 96.743 15.2332
202.546692 96.775 15.0977
202.883148 96.811 14.8356
203.219604 96.839 14.4434
203.556061 96.852 13.9594
203.892517 96.845 13.4492
204.228973 96.819 12.9795
204.565430 96.783 12.5943
204.901886 96.743 12.3032
205.238342 96.707 12.0864
205.574799 96.677 11.9121
205.911255 96.652 11.7552
206.247711 96.632 11.6053
206.584167 96.614 11.4620
206.920624 96.600 11.3218
207.257080 96.591 11.1689
207.593536 96.585 10.9797
207.929993 96.577 10.7389
208.266449 96.560 10.4579
208.602905 96.529 10.1827
208.939362 96.485 9.9813
209.275818 96.436 9.9113
209.612274 96.396 9.9835
209.948730 96.380 10.1393
210.285187 96.391 10.2643
210.621643 96.423 10.2378
210.958099 96.458 9.9937
211.294556 96.473 9.5560
211.631012 96.455 9.0326
211.967468 96.400 8.5715
212.303925 96.321 8.3012
212.640381 96.239 8.2753
212.976837 96.176 8.4476
213.313293 96.145 8.6951
213.649750 96.142 8.8817
213.986206 96.154 8.9251
214.322662 96.163 8.8250
214.659119 96.160 8.6439
214.995575 96.144 8.4594
215.332031 96.121 8.3202
215.668488 96.099 8.2273
216.004944 96.082 8.1479
216.341400 96.068 8.0484
216.677856 96.054 7.9213
217.014313 96.036 7.7880
217.350769 96.015 7.6777
217.687225 95.997 7.5997
218.023682 95.985 7.5302
218.360138 95.979 7.4263
218.696594 95.974 7.2567
219.033051 95.960 7.0292
219.369507 95.931 6.7947
219.705963 95.889 6.6230
220.042419 95.841 6.5659
220.378876 95.799 6.6270
220.715332 95.771 6.7586
221.051788 95.758 6.8886
221.388245 95.755 6.9630
221.724701 95.751 6.9744
222.061157 95.740 6.9609
222.397614 95.723 6.9778
222.734070 95.704 7.0611
223.070526 95.692 7.2037
223.406982 95.693 7.3596
223.743439 95.705 7.4704
224.079895 95.720 7.5001
224.416351 95.731 7.4531
224.752808 95.732 7.3692
225.089264 95.722 7.2997
225.425720 95.706 7.2811
225.762177 95.691 7.3186
226.098633 95.681 7.3886
226.435089 95.678 7.4556
226.771545 95.678 7.4930
227.108002 95.678 7.4962
227.444458 95.674 7.4819
227.780914 95.665 7.4772
228.117371 95.654 7.5050
228.453827 95.646 7.5732
228.790283 95.643 7.6708
229.126740 95.650 7.7712
229.463196 95.665 7.8420
229.799652 95.685 7.8558
230.136108 95.705 7.8021
230.472565 95.719 7.6927
230.809021 95.724 7.5620
231.145477 95.719 7.4559
231.481934 95.709 7.4150
231.818390 95.701 7.4548
232.154846 95.704 7.5540
232.491302 95.722 7.6585
232.827759 95.754 7.7036
233.164215 95.792 7.6436
233.500671 95.826 7.4733
233.837128 95.847 7.2296
234.173584 95.852 6.9739
234.510040 95.843 6.7654
234.846497 95.828 6.6382
235.182953 95.814 6.5926
235.519409 95.806 6.6016
235.855865 95.808 6.6296
236.192322 95.816 6.6483
236.528778 95.829 6.6437
236.865234 95.845 6.6130
237.201691 95.862 6.5579
237.538147 95.878 6.4819
237.874603 95.893 6.3925
238.211060 95.907 6.3016
238.547516 95.920 6.2226
238.883972 95.937 6.1596
239.220428 95.960 6.0988
239.556885 95.990 6.0078
239.893341 96.027 5.8495
240.229797 96.063 5.6025
240.566254 96.091 5.2757
240.902710 96.105 4.9078
241.239166 96.104 4.5515
241.575623 96.093 4.2494
241.912079 96.078 4.0186
242.248535 96.063 3.8492
242.584991 96.052 3.7194
242.921448 96.042 3.6146
243.257904 96.034 3.5372
243.594360 96.029 3.4996
243.930817 96.030 3.5060
244.267273 96.041 3.5380
244.603729 96.066 3.5541
244.940186 96.102 3.5069
245.276642 96.143 3.3659
245.613098 96.181 3.1303
245.949554 96.211 2.8248
246.286011 96.230 2.4829
246.622467 96.241 2.1302
246.958923 96.244 1.7774
247.295380 96.241 1.4269
247.631836 96.229 1.0846
247.968292 96.210 0.7673
248.304749 96.184 0.4977
248.641205 96.156 0.2900
248.977661 96.132 0.1368
249.314117 96.113 0.0074
249.650574 96.100 -0.1362
249.987030 96.088 -0.3173
250.323486 96.071 -0.5284
250.659943 96.045 -0.7341
250.996399 96.012 -0.8912
251.332855 95.978 -0.9742
251.669312 95.950 -0.9921
252.005768 95.932 -0.9836
252.342224 95.923 -0.9943
252.678680 95.918 -1.0493
253.015137 95.912 -1.1397
253.351593 95.900 -1.2316
253.688049 95.888 -1.2919
254.024506 95.880 -1.3148
254.360962 95.882 -1.3326
254.697418 95.895 -1.4021
255.033875 95.913 -1.5728
255.370331 95.924 -1.8560
255.706787 95.919 -2.2126
256.043243 95.893 -2.5662
256.379700 95.849 -2.8339
256.716156 95.798 -2.9622
257.052612 95.753 -2.9517
257.389069 95.726 -2.8568
257.725525 95.718 -2.7602
258.061981 95.725 -2.7331
258.398438 95.737 -2.8044
258.734894 95.743 -2.9550
259.071350 95.741 -3.1355
259.407806 95.731 -3.2973
259.744263 95.720 -3.4179
260.080719 95.713 -3.5099
260.417175 95.712 -3.6096
260.753632 95.716 -3.7526
261.090088 95.718 -3.9510
261.426544 95.713 -4.1870
261.763000 95.698 -4.4228
262.099457 95.677 -4.6219
262.435913 95.654 -4.7689
262.772369 95.634 -4.8766
263.108826 95.620 -4.9783
263.445282 95.610 -5.1085
263.781738 95.599 -5.2850
264.118195 95.580 -5.4993
264.454651 95.550 -5.7209
264.791107 95.508 -5.9075
265.127563 95.455 -6.0184
265.464020 95.396 -6.0235
265.800476 95.339 -5.9091
266.136932 95.290 -5.6810
266.473389 95.257 -5.3664
266.809845 95.243 -5.0128
267.146301 95.250 -4.6800
267.482758 95.274 -4.4254
267.819214 95.306 -4.2859
268.155670 95.338 -4.2664
268.492126 95.362 -4.3390
268.828583 95.374 -4.4570
269.165039 95.374 -4.5744
269.501495 95.368 -4.6638
269.837952 95.359 -4.7225
270.174408 95.350 -4.7664
270.510864 95.341 -4.8136
270.847321 95.330 -4.8697
271.183777 95.315 -4.9231
271.520233 95.295 -4.9521
271.856689 95.274 -4.9395
272.193146 95.255 -4.8823
272.529602 95.242 -4.7953
272.866058 95.237 -4.7018
273.202515 95.238 -4.6225
273.538971 95.245 -4.5695
273.875427 95.255 -4.5473
274.211884 95.268 -4.5596
274.548340 95.283 -4.6133
274.884796 95.298 -4.7166
275.221252 95.310 -4.8696
275.557709 95.315 -5.0573
275.894165 95.311 -5.2508
276.230621 95.301 -5.4180
276.567078 95.289 -5.5400
276.903534 95.279 -5.6215
277.239990 95.274 -5.6896
277.576447 95.275 -5.7766
277.912903 95.277 -5.9000
278.249359 95.274 -6.0498
278.585815 95.266 -6.1949
278.922272 95.253 -6.3027
279.258728 95.242 -6.3620
279.595184 95.238 -6.3944
279.931641 95.242 -6.4443
280.268097 95.249 -6.5523
280.604553 95.252 -6.7278
280.941010 95.243 -6.9383
281.277466 95.219 -7.1211
281.613922 95.185 -7.2130
281.950378 95.149 -7.1823
282.286835 95.125 -7.0468
282.623291 95.117 -6.8668
282.959747 95.126 -6.7164
283.296204 95.145 -6.6479
283.632660 95.164 -6.6704
283.969116 95.174 -6.7516
284.305573 95.175 -6.8399
284.642029 95.168 -6.8905
284.978485 95.161 -6.8860
