* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -26.9 dBFS, measurement signal peak level -26.0 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:54:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R LAV Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
255.033875 83.099 -1.5674
255.370331 83.117 -1.6788
255.706787 83.135 -1.8818
256.043243 83.149 -2.1691
256.379700 83.154 -2.5159
256.716156 83.145 -2.8869
257.052612 83.124 -3.2441
257.389069 83.093 -3.5540
257.725525 83.054 -3.7915
258.061981 83.014 -3.9446
258.398438 82.978 -4.0159
258.734894 82.950 -4.0226
259.071350 82.934 -3.9949
259.407806 82.931 -3.9703
259.744263 82.939 -3.9856
260.080719 82.954 -4.0685
260.417175 82.971 -4.2311
260.753632 82.982 -4.4668
261.090088 82.986 -4.7540
261.426544 82.979 -5.0624
261.763000 82.961 -5.3620
262.099457 82.936 -5.6316
262.435913 82.907 -5.8630
262.772369 82.876 -6.0611
263.108826 82.845 -6.2385
263.445282 82.813 -6.4078
263.781738 82.780 -6.5750
264.118195 82.743 -6.7350
264.454651 82.701 -6.8743
264.791107 82.656 -6.9762
265.127563 82.610 -7.0283
265.464020 82.566 -7.0297
265.800476 82.529 -6.9924
266.136932 82.499 -6.9399
266.473389 82.477 -6.8992
266.809845 82.459 -6.8915
267.146301 82.443 -6.9249
267.482758 82.425 -6.9911
267.819214 82.401 -7.0685
268.155670 82.371 -7.1290
268.492126 82.339 -7.1484
268.828583 82.307 -7.1149
269.165039 82.282 -7.0334
269.501495 82.265 -6.9257
269.837952 82.259 -6.8221
270.174408 82.261 -6.7529
270.510864 82.269 -6.7378
270.847321 82.277 -6.7819
271.183777 82.282 -6.8757
271.520233 82.282 -7.0001
271.856689 82.274 -7.1329
272.193146 82.261 -7.2546
272.529602 82.244 -7.3508
272.866058 82.224 -7.4130
273.202515 82.204 -7.4376
273.538971 82.186 -7.4249
273.875427 82.173 -7.3805
274.211884 82.165 -7.3170
274.548340 82.166 -7.2552
274.884796 82.175 -7.2219
275.221252 82.189 -7.2434
275.557709 82.204 -7.3367
275.894165 82.214 -7.5011
276.230621 82.213 -7.7155
276.567078 82.201 -7.9420
276.903534 82.175 -8.1364
277.239990 82.142 -8.2625
277.576447 82.107 -8.3058
277.912903 82.079 -8.2796
278.249359 82.060 -8.2216
278.585815 82.051 -8.1787
278.922272 82.048 -8.1886
279.258728 82.045 -8.2633
279.595184 82.034 -8.3838
279.931641 82.012 -8.5083
280.268097 81.981 -8.5879
280.604553 81.947 -8.5875
280.941010 81.917 -8.5013
281.277466 81.899 -8.3582
281.613922 81.896 -8.2129
281.950378 81.907 -8.1255
282.286835 81.925 -8.1382
282.623291 81.939 -8.2587
282.959747 81.941 -8.4578
283.296204 81.926 -8.6781
283.632660 81.895 -8.8528
283.969116 81.853 -8.9257
284.305573 81.809 -8.8693
284.642029 81.775 -8.6942
284.978485 81.759 -8.4473
285.314941 81.763 -8.1974
285.651398 81.785 -8.0134
285.987854 81.818 -7.9432
286.324310 81.850 -8.0005
286.660767 81.872 -8.1639
286.997223 81.879 -8.3846
287.333679 81.867 -8.6011
287.670135 81.841 -8.7550
288.006592 81.807 -8.8067
288.343048 81.774 -8.7449
288.679504 81.750 -8.5894
289.015961 81.741 -8.3853
289.352417 81.749 -8.1881
289.688873 81.770 -8.0471
290.025330 81.797 -7.9913
290.361786 81.825 -8.0243
290.698242 81.847 -8.1271
291.034698 81.860 -8.2681
291.371155 81.865 -8.4143
291.707611 81.863 -8.5414
292.044067 81.857 -8.6384
292.380524 81.851 -8.7074
292.716980 81.847 -8.7589
293.053436 81.844 -8.8049
293.389893 81.842 -8.8535
293.726349 81.840 -8.9058
294.062805 81.836 -8.9568
294.399261 81.830 -8.9985
294.735718 81.824 -9.0240
295.072174 81.818 -9.0304
295.408630 81.812 -9.0195
295.745087 81.809 -8.9972
296.081543 81.808 -8.9698
296.417999 81.809 -8.9423
296.754456 81.811 -8.9156
297.090912 81.813 -8.8878
297.427368 81.815 -8.8549
297.763824 81.820 -8.8153
298.100281 81.826 -8.7711
298.436737 81.836 -8.7294
298.773193 81.850 -8.7007
299.109650 81.867 -8.6957
299.446106 81.885 -8.7216
299.782562 81.904 -8.7804
300.119019 81.921 -8.8690
300.455475 81.936 -8.9816
300.791931 81.949 -9.1125
301.128387 81.961 -9.2593
301.464844 81.970 -9.4222
301.801300 81.978 -9.6035
302.137756 81.982 -9.8038
302.474213 81.982 -10.0189
302.810669 81.976 -10.2390
303.147125 81.964 -10.4496
303.483582 81.947 -10.6345
303.820038 81.926 -10.7800
304.156494 81.904 -10.8788
304.492950 81.884 -10.9318
304.829407 81.868 -10.9487
305.165863 81.857 -10.9453
305.502319 81.852 -10.9391
305.838776 81.851 -10.9452
306.175232 81.852 -10.9719
