* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -11.5 dBFS, measurement signal peak level -9.3 dBFS
* Format: 10 second Pink noise FSAF at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Nov 25 14:37:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R Nov 25
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
211.967468 98.361 -1.9248
212.303925 98.361 -1.9384
212.640381 98.360 -1.9705
212.976837 98.356 -2.0129
213.313293 98.347 -2.0459
213.649750 98.337 -2.0514
213.986206 98.329 -2.0289
214.322662 98.327 -2.0007
214.659119 98.329 -2.0000
214.995575 98.332 -2.0472
215.332031 98.328 -2.1310
215.668488 98.315 -2.2083
216.004944 98.294 -2.2252
216.341400 98.274 -2.1495
216.677856 98.265 -1.9941
217.014313 98.273 -1.8164
217.350769 98.296 -1.6887
217.687225 98.328 -1.6581
218.023682 98.356 -1.7208
218.360138 98.374 -1.8260
218.696594 98.383 -1.9081
219.033051 98.391 -1.9257
219.369507 98.406 -1.8884
219.705963 98.434 -1.8521
220.042419 98.474 -1.8856
220.378876 98.515 -2.0287
220.715332 98.547 -2.2681
221.051788 98.562 -2.5435
221.388245 98.561 -2.7793
221.724701 98.551 -2.9217
222.061157 98.544 -2.9645
222.397614 98.547 -2.9482
222.734070 98.562 -2.9351
223.070526 98.585 -2.9744
223.406982 98.608 -3.0802
223.743439 98.626 -3.2327
224.079895 98.637 -3.3969
224.416351 98.642 -3.5461
224.752808 98.646 -3.6749
225.089264 98.651 -3.7958
225.425720 98.656 -3.9252
225.762177 98.660 -4.0682
226.098633 98.661 -4.2146
226.435089 98.659 -4.3463
226.771545 98.657 -4.4519
227.108002 98.659 -4.5370
227.444458 98.667 -4.6245
227.780914 98.680 -4.7426
228.117371 98.696 -4.9097
228.453827 98.708 -5.1248
228.790283 98.715 -5.3677
229.126740 98.715 -5.6102
229.463196 98.711 -5.8298
229.799652 98.706 -6.0189
230.136108 98.702 -6.1860
230.472565 98.702 -6.3481
230.809021 98.702 -6.5185
231.145477 98.701 -6.6980
231.481934 98.698 -6.8735
231.818390 98.691 -7.0245
232.154846 98.685 -7.1349
232.491302 98.682 -7.2042
232.827759 98.686 -7.2520
233.164215 98.700 -7.3124
233.500671 98.719 -7.4209
233.837128 98.738 -7.5969
234.173584 98.751 -7.8317
234.510040 98.753 -8.0887
234.846497 98.742 -8.3163
235.182953 98.724 -8.4698
235.519409 98.708 -8.5353
235.855865 98.702 -8.5405
236.192322 98.710 -8.5473
236.528778 98.729 -8.6223
236.865234 98.749 -8.8029
237.201691 98.760 -9.0760
237.538147 98.754 -9.3826
237.874603 98.733 -9.6469
238.211060 98.704 -9.8160
238.547516 98.680 -9.8905
238.883972 98.669 -9.9274
239.220428 98.672 -10.0087
239.556885 98.677 -10.1919
239.893341 98.674 -10.4729
240.229797 98.651 -10.7833
240.566254 98.608 -11.0248
240.902710 98.558 -11.1203
241.239166 98.515 -11.0587
241.575623 98.494 -10.9061
241.912079 98.499 -10.7733
242.248535 98.521 -10.7566
242.584991 98.545 -10.8898
242.921448 98.557 -11.1360
243.257904 98.552 -11.4172
243.594360 98.532 -11.6591
243.930817 98.505 -11.8245
244.267273 98.479 -11.9213
244.603729 98.457 -11.9820
244.940186 98.438 -12.0325
245.276642 98.418 -12.0731
245.613098 98.397 -12.0837
245.949554 98.376 -12.0444
246.286011 98.362 -11.9578
246.622467 98.358 -11.8531
246.958923 98.364 -11.7711
247.295380 98.374 -11.7397
247.631836 98.384 -11.7604
247.968292 98.390 -11.8121
248.304749 98.391 -11.8699
248.641205 98.389 -11.9211
248.977661 98.385 -11.9698
249.314117 98.379 -12.0244
249.650574 98.368 -12.0806
249.987030 98.350 -12.1130
250.323486 98.327 -12.0844
250.659943 98.304 -11.9672
250.996399 98.289 -11.7650
251.332855 98.291 -11.5182
251.669312 98.310 -11.2890
