* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -37.0 dBFS, measurement signal peak level -36.1 dBFS
* Format: 8 second File FSAF from PINK_NOISE_REFERENCE.wav starting at 0 s at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Dec 2 14:53:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R LAV Dec 2
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
166.545868 73.866 41.1523
166.882324 73.886 40.7987
167.218781 73.902 40.4452
167.555237 73.915 40.0998
167.891693 73.924 39.7699
168.228149 73.932 39.4613
168.564606 73.939 39.1781
168.901062 73.947 38.9207
169.237518 73.958 38.6852
169.573975 73.971 38.4626
169.910431 73.988 38.2410
170.246887 74.009 38.0078
170.583344 74.031 37.7539
170.919800 74.053 37.4778
171.256256 74.072 37.1859
171.592712 74.088 36.8910
171.929169 74.101 36.6072
172.265625 74.114 36.3441
172.602081 74.127 36.1021
172.938538 74.145 35.8709
173.274994 74.167 35.6328
173.611450 74.193 35.3683
173.947906 74.220 35.0641
174.284363 74.246 34.7171
174.620819 74.268 34.3358
174.957275 74.284 33.9364
175.293732 74.293 33.5375
175.630188 74.298 33.1538
175.966644 74.301 32.7923
176.303101 74.302 32.4513
176.639557 74.304 32.1234
176.976013 74.307 31.7999
177.312469 74.309 31.4741
177.648926 74.310 31.1445
177.985382 74.310 30.8146
178.321838 74.307 30.4913
178.658295 74.301 30.1821
178.994751 74.294 29.8928
179.331207 74.286 29.6264
179.667664 74.280 29.3819
180.004120 74.275 29.1549
180.340576 74.273 28.9378
180.677032 74.274 28.7210
181.013489 74.277 28.4939
181.349945 74.283 28.2477
181.686401 74.288 27.9768
182.022858 74.291 27.6816
182.359314 74.291 27.3689
182.695770 74.286 27.0505
183.032227 74.276 26.7408
183.368683 74.264 26.4519
183.705139 74.250 26.1893
184.041595 74.238 25.9492
184.378052 74.230 25.7183
184.714508 74.225 25.4780
185.050964 74.223 25.2100
185.387421 74.222 24.9028
185.723877 74.217 24.5563
186.060333 74.207 24.1827
186.396790 74.188 23.8033
186.733246 74.162 23.4426
187.069702 74.131 23.1219
187.406158 74.098 22.8535
187.742615 74.066 22.6375
188.079071 74.040 22.4625
188.415527 74.021 22.3093
188.751984 74.010 22.1560
189.088440 74.006 21.9832
189.424896 74.006 21.7772
189.761353 74.008 21.5319
190.097809 74.011 21.2472
190.434265 74.011 20.9286
190.770721 74.007 20.5850
191.107178 73.997 20.2277
191.443634 73.982 19.8706
191.780090 73.960 19.5293
192.116547 73.933 19.2202
192.453003 73.901 18.9594
192.789459 73.868 18.7586
193.125916 73.836 18.6226
193.462372 73.811 18.5449
193.798828 73.794 18.5074
194.135284 73.788 18.4816
194.471741 73.793 18.4344
194.808197 73.805 18.3363
195.144653 73.820 18.1693
195.481110 73.833 17.9318
195.817566 73.839 17.6389
196.154022 73.835 17.3179
196.490479 73.820 17.0004
196.826935 73.797 16.7131
197.163391 73.769 16.4717
197.499847 73.739 16.2769
197.836304 73.711 16.1176
198.172760 73.685 15.9772
198.509216 73.662 15.8409
